NSTableColumnBinder,NSViewStateBinder
NSXMLNamedNode,NSXMLNode
NSMutableArray,NSArray
_NSPopoverTransitionView,NSView
PASampleUserFrame,PASampleFrame
NSSegmentItemView,NSView
NSNavSegmentedCell,NSSegmentedCell
NSPropertyListSerialization,NSObject
__ARCLite__,null
NSRTFWriter,NSObject
NSStoryboard,NSObject
NSVBOpenPanel,NSVBSavePanel
BU_TMSkinnedPushButton,BU_TMPushButton
_CFXNotificationDistributedTokenRegistration,_CFXNotificationTokenRegistration
NSBatchDeleteResult,NSPersistentStoreResult
NSNotificationObservable,NSObservationSource
NSOneLevelViewBuffer,NSViewBuffer
NSViewControllerUtilityWindowTransition,NSViewControllerWindowTransition
NSCollectionViewGridLayout,NSCollectionViewLayout
_NSSavePanelHackAlert,NSAlert
NSPersistentUIWindowInfo,NSObject
DDErrorRegexp,DDBasicRegexp
NSFileWrapper,NSObject
NSFontPanelColorWell,NSColorWell
NSPropertyStoreMapping,NSStoreMapping
NSTableHeaderCell,NSTextFieldCell
NSSortedArray,NSMutableArray
PAImageSegmentRegion,PAMemRegion
SystemPowerNotifier,NSObject
PFUbiquityContainerMonitor,NSObject
NSNavIconViewCell,NSIconViewCell
NSDoubleClickActionBinder,NSActionBinder
CIPhotoEffect,CIFilter
NSDocumentControllerMoreIVars,NSObject
_CFXNotificationDistributedTokenQueueRegistration,_CFXNotificationDistributedTokenRegistration
NSStackObservedValue,NSObservedValue
_NSXPCConnectionClassCache,NSObject
CIColumnAverage,CIReductionFilter
_NSTiledLayerContents,NSObject
NSURLSessionStreamTask,NSURLSessionTask
SFCSR,NSObject
NSSavePanel,NSPanel
NSSQLiteAdapter,NSSQLAdapter
AUV2BridgeBus,AUAudioUnitBus
NSConcreteDistantObjectRequest,NSDistantObjectRequest
_NSTreeNodeObservingTracker,NSObject
NSRegularLegacyScrollerImp,NSLegacyScrollerImp
NSScriptRecordFieldDescription,NSObject
NSTextInputContext,NSObject
NSMagnificationGestureRecognizer,NSGestureRecognizer
CAContextImpl,CAContext
CIImage,NSObject
_NSToolbarClippedItemsIndicatorCell,NSPopUpButtonCell
NSMovePanel,NSPanel
_CSIRenditionBlockData,NSObject
_NSCFTranslatedFileURLProtocol_PIMPL_0,_NSCFTranslatedFileURLProtocol
CIAreaAverage,CIReductionFilter
NSPICTImageRep,NSImageRep
NSDynamicSystemColor,NSCatalogColor
NSSubstituteWebResource,NSObject
_CFXNotificationTokenRegistration,_CFXNotificationRegistrationBase
_NSSQLiteStoreMigrator,NSObject
NSView,NSResponder
PAVideoCardSet,NSObject
_NSFileWatcherDirectoryFileHandleInfo,_NSFileWatcherFileHandleInfo
NSKeyValueProperty,NSObject
CWTetherDevice,NSObject
__NSCFURLLocalStreamTaskWorkBlockOp,__NSCFURLLocalStreamTaskWork
SFCertificateAuthorityClient,NSObject
NSURLHandle,NSObject
MTLTextureDescriptorInternal,MTLTextureDescriptor
NSDistantObjectRequest,NSObject
NSRubyAnnotation,NSObject
NSPageData,NSData
NSSmallOverlayScrollerImp,NSOverlayScrollerImp
CILightenBlendMode,CIBlendModeFilter
NSToolbarClippedItemsIndicator,NSPopUpButton
_PFZipFileArchive,NSObject
GSAddition,NSObject
NSEncodingDetector,NSObject
_NSDisplayOperation,NSObject
NSCalibratedWhiteColor,NSColor
_CFXNotificationTokenQueueRegistration,_CFXNotificationTokenRegistration
_NSAnimationBlockDelegate,NSObject
NSLevelIndicatorCell,NSActionCell
DBGViewDebuggerSupport,NSObject
CICrop,CIFilter
_NSTextAnimationOverlayView,NSView
BU_TMToolbarPushButton,BU_TMPushButton
NSFileHandle,NSObject
NSURL,NSObject
PFUbiquityTransactionHistoryCache,NSObject
NSViewWindowBackingStoreBuffer,NSViewBuffer
_NSSavePanelTextView,NSTextView
CIPlusLighterCompositing,_CICompositeFilter
CoreWiFiWPSIE,CoreWiFiIE
NSPersistentUIManager,NSObject
__NSArrayM,NSMutableArray
NSForm,NSMatrix
